,Quality Momentum Univ Part I 4bn MktCap / 100k Liq,,,,,,,,,
,28/01/2026,,,,,,,,,
,,,,,,,,,,
,#,Ticker,Name,Last,MktCap,SectorCode,SubSectorCode,IndCode,EarnYield,FCFYield
,85,AGIG:USA,"Abundia Global Impact Group, Inc.",3.38,115.67,ENERGY,UPSTREAMENERGY,FOSSILFUEL,-267.71,-12.88
,86,AGIO:USA,"Agios Pharmaceuticals, Inc.",28.67,"1,670.88",HEALTHCARE,BIOPHARMA,BIOPHARMASYS,-24.26,-24.84
,87,AGL:USA,"Agilon Health, Inc.",0.85,354.04,HEALTHCARE,HCARESVCE,HCARESUPPORT,-91.26,-32.37
,88,AGM:USA,Federal Agricultural Mortgage Corp.,172.89,"1,890.47",FINANCIAL,INVESTSVCESS,INVESTSVCE,10.16,18.14
,89,AGO:USA,Assured Guaranty Ltd.,83.02,"3,877.74",FINANCIAL,INSURANCESS,INSURANCE,9.81,6.68
,90,AGPU:USA,"Axe Compute, Inc.",5.04,3.87,HEALTHCARE,HCAREEQUIP,MEDDEVICESOTHER,"-2,401.25",-240.51
,91,AGRO:USA,Adecoagro SA,9.14,914.79,NONCYCLICAL,FOODPRODUCTION,FOODDRINKMFR,2.55,1.97
,92,AGRZ:USA,"Agroz, Inc.",0.41,8.91,INDUSTRIAL,INDSVCE,FACIL,N/A,N/A
,93,AGYS:USA,"Agilysys, Inc.",90.86,"2,552.96",CONSUMERSVCE,HOSPITALITYSS,HOSPITALITY,1.18,2.29
,94,AHCO:USA,AdaptHealth Corp.,10.06,"1,362.37",HEALTHCARE,HCARESVCE,PATIENTCARE,5.42,15.44
,95,AHH:USA,"Armada Hoffler Properties, Inc.",6.85,549.06,FINANCIAL,REALESTATE,REIT,1.97,1.72
,96,AHL:USA,Aspen Insurance Holdings Ltd.,37.35,"3,430.16",FINANCIAL,INSURANCESS,INSURANCE,N/A,8.32
,97,AHMA:USA,Ambitions Enterprise Management Co. LLC,31,914.5,BIZSVCE,BIZSVCESS,MKTINGPRINTING,0.03,0.03
,98,AHT:USA,"Ashford Hospitality Trust, Inc.",3.98,24.62,FINANCIAL,REALESTATE,REIT,"-1,180.30",-227.64
,99,AI:USA,"C3.ai, Inc.",12.6,"1,766.28",TECH,SOFTWTECH,SOFTW,-22.47,-5.34
,100,AIFF:USA,"Firefly Neuroscience, Inc.",1,13.46,HEALTHCARE,HCAREEQUIP,MEDDEVICESOTHER,-253.77,-56.76
,101,AII:USA,"American Integrity Insurance Group, Inc.",18.51,362.37,FINANCIAL,INSURANCESS,INSURANCE,N/A,N/A
,102,AIIA:USA,AI Infrastructure Acquisition Corp.,10.03,193.48,FINANCIAL,INVESTSVCESS,INVESTSVCE,N/A,N/A
,103,AIIO:USA,"Robo.ai, Inc.",0.26,77.43,CYCLICALS,VEHICLESS,VEHICLE,-184.08,N/A
,104,AIM:USA,"AIM ImmunoTech, Inc.",1.21,3.35,HEALTHCARE,BIOPHARMA,BIOPHARMASYS,"-1,664.16",-525.63
,105,AIN:USA,Albany International Corp.,56.57,"1,621.50",INDUSTRIAL,INDMFR,MACHINE,-3.43,5.44
,106,AIOT:USA,"PowerFleet, Inc.",5.27,705.16,TELECOM,TELECOMSS,TELECOMGEN,-5.91,-3.54
,107,AIP:USA,"Arteris, Inc.",16.01,697.78,TECH,SOFTWTECH,SOFTW,-5.2,-0.05
,108,AIR:USA,AAR Corp.,105.47,"4,173.71",INDUSTRIAL,INDSVCE,TRAINTRUCK,2.44,-0.89
,109,AIRE:USA,reAlpha Tech Corp.,0.42,43.08,FINANCIAL,REALESTATE,REALESTATESVCE,-160.67,-33.3
,110,AIRG:USA,"Airgain, Inc.",4.54,54.22,TECH,ELECTRONIC,SEMIMFR,-11.31,-3.03
,111,AIRI:USA,Air Industries Group,3.47,16.56,INDUSTRIAL,INDMFR,AERODEF,-15.98,-33.06
,112,AIRJ:USA,AirJoule Technologies Corp.,3.4,205.83,INDUSTRIAL,INDMFR,MACHINE,-0.59,-3.29
,113,AIRO:USA,"AIRO Group Holdings, Inc.",11.7,366.25,INDUSTRIAL,INDMFR,AERODEF,-0.72,N/A
,114,AIRS:USA,"AirSculpt Technologies, Inc.",3.12,194.8,HEALTHCARE,HCARESVCE,PATIENTCARE,-9.54,1.27
,115,AISP:USA,"Airship AI Holdings, Inc.",3.4,108.85,BIZSVCE,BIZSVCESS,PROSVCE,-47.72,-4.63
,116,AIV:USA,Apartment Investment & Management Co.,5.85,819.93,FINANCIAL,REALESTATE,REIT,-17.12,-11.91
,117,AIXC:USA,"AIxCrypto Holdings, Inc.",2.17,6.63,HEALTHCARE,BIOPHARMA,BIOPHARMANONSYS,-399.15,-527.02
,118,AKAN:USA,Akanda Corp.,1.54,0.22,NONCYCLICAL,FOODPRODUCTION,CANNABIS,"-1,468.08","-1,178.30"
,119,AKBA:USA,"Akebia Therapeutics, Inc.",1.51,400.49,HEALTHCARE,BIOPHARMA,BIOPHARMASYS,-5.04,7.77
,120,AKR:USA,Acadia Realty Trust,19.7,"2,581.32",FINANCIAL,REALESTATE,REIT,0.64,1.74
,121,AKTS:USA,"Aktis Oncology, Inc.",21.22,"1,114.52",HEALTHCARE,BIOPHARMA,BIOPHARMANONSYS,N/A,N/A
,122,ALCO:USA,"Alico, Inc.",41.19,314.91,NONCYCLICAL,FOODPRODUCTION,AGRICULTURE,-46.83,4.64
,123,ALDX:USA,"Aldeyra Therapeutics, Inc.",5.54,333.3,HEALTHCARE,BIOPHARMA,BIOPHARMASYS,-13.03,-12.03
,124,ALEC:USA,"Alector, Inc.",1.95,209.52,HEALTHCARE,BIOPHARMA,BIOPHARMASYS,-54.89,-98.76
,125,ALEX:USA,"Alexander & Baldwin, Inc.",20.73,"1,508.28",FINANCIAL,REALESTATE,REIT,4.85,4.2
,126,ALG:USA,"Alamo Group, Inc.",193.33,"2,317.97",INDUSTRIAL,INDMFR,TRANSPORTEQUIP,4.99,6.41
,127,ALGS:USA,"Aligos Therapeutics, Inc.",8.59,52.86,HEALTHCARE,BIOPHARMA,BIOPHARMASYS,-230.08,-89.29
,128,ALGT:USA,Allegiant Travel Co.,85.35,"1,563.95",INDUSTRIAL,INDSVCE,PASSENGERTRANS,-19.1,-2.11
,129,ALH:USA,"Alliance Laundry Holdings, Inc. (United States)",21.86,"4,315.17",INDUSTRIAL,INDMFR,MACHINE,N/A,N/A
,130,ALHC:USA,"Alignment Healthcare, Inc.",20.96,"4,191.76",HEALTHCARE,HCARESVCE,HCARESUPPORT,-0.56,3.44
,131,ALIT:USA,"Alight, Inc.",1.61,841.45,TECH,SOFTWTECH,SOFTW,-251.27,28.66
,132,ALKT:USA,"Alkami Technology, Inc.",21.1,"2,215.58",FINANCIAL,FINSVCE,FINSOFTW,-2.02,1.01
,133,ALLO:USA,"Allogene Therapeutics, Inc.",1.53,341.44,HEALTHCARE,BIOPHARMA,BIOPHARMANONSYS,-64.12,-46.8
,134,ALLR:USA,"Allarity Therapeutics, Inc.",1.2,19.33,HEALTHCARE,BIOPHARMA,BIOPHARMANONSYS,-133.78,-85.26
,135,ALLT:USA,Allot Ltd.,10.55,472.05,TECH,SOFTWTECH,SOFTW,0.2,2.93
,136,ALM:USA,"Almonty Industries, Inc.",11.1,"2,495.41",MATERIALS,MINING,ORE,-3.33,-1.84
,137,ALMS:USA,"Alumis, Inc.",26,"2,713.34",HEALTHCARE,BIOPHARMA,BIOPHARMASYS,-14.83,-13.79
,138,ALMU:USA,"Aeluma, Inc.",16.88,301.34,TECH,ELECTRONIC,COMPONENTS,-1.62,-0.51
,139,ALNT:USA,"Allient, Inc.",60.83,"1,030.22",INDUSTRIAL,INDMFR,ELECTREQUIP,1.84,4.67
,140,ALOT:USA,"AstroNova, Inc.",9.42,71.95,TECH,HW,COMMERCIALELECTRONICS,-23.72,14.23
,141,ALOVU:USA,"Aldabra 4 Liquidity Opportunity Vehicle, Inc.",9.99,326.09,FINANCIAL,INVESTSVCESS,INVESTSVCE,N/A,N/A
,142,ALRM:USA,"Alarm.com Holdings, Inc.",49.07,"2,441.75",TECH,SOFTWTECH,SOFTW,4.82,5.33
,143,ALRS:USA,Alerus Financial Corp.,23.97,608.76,FINANCIAL,BANKS,BANKSUSA,8.66,6.19
,144,ALT:USA,"Altimmune, Inc.",6.18,590.8,HEALTHCARE,BIOPHARMA,BIOPHARMAOTHER,-17.29,-12.06
,145,ALTG:USA,"Alta Equipment Group, Inc.",6.62,212.87,INDUSTRIAL,INDSVCE,INDLDIST,-37.95,10.14
,146,ALTI:USA,"AlTi Global, Inc.",4.62,473.39,FINANCIAL,INVESTSVCESS,INVESTSVCE,-36.23,-11.86
,147,ALTO:USA,"Alto Ingredients, Inc.",2.62,202.64,MATERIALS,CHEM,CHEMSPECIAL,-26.63,-5.11
,148,ALTS:USA,ALT5 Sigma Corp.,2.19,276.14,FINANCIAL,FINSVCE,FINSOFTW,-29.04,-4.72
,149,ALUR:USA,"Allurion Technologies, Inc.",1.52,11.81,HEALTHCARE,HCAREEQUIP,MEDDEVICESOTHER,-482.51,-312.73
,150,ALVO:USA,Alvotech,5.31,"1,602.59",HEALTHCARE,BIOPHARMA,BIOPHARMASYS,4.34,-8.6
,151,ALX:USA,"Alexander's, Inc.",239.55,"1,223.45",FINANCIAL,REALESTATE,REIT,2.98,6.57
,152,ALXO:USA,"ALX Oncology Holdings, Inc.",1.5,80.37,HEALTHCARE,BIOPHARMA,BIOPHARMANONSYS,-135.17,-121.23
,153,ALZN:USA,"Alzamend Neuro, Inc.",2.18,8.29,HEALTHCARE,BIOPHARMA,BIOPHARMASYS,-252.1,-79.46
,154,AMAL:USA,Amalgamated Financial Corp.,38.15,"1,147.89",FINANCIAL,BANKS,BANKSUSA,8.72,10.83
